"Agora id",,"English Term","English Expert definition","English Simple definition"
20296,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20296&search_mode=solr","Organisation for Economic Co-operation and Development (OECD)","<p>The mission of the Organisation for Economic Co-operation and Development (OECD) is to promote policies that will improve the economic and social well-being of people around the world. The OECD provides a forum in which governments can work together to share experiences and seek solutions to common problems. We work with governments to understand what drives economic, social and environmental change. We measure productivity and global flows of trade and investment. We analyse and compare data to predict future trends. We set international standards on a wide range of things, from agriculture and tax to the safety of chemicals. We look, too, at issues that directly affect the lives of ordinary people, like how much they pay in taxes and social security, and how much leisure time they can take. We compare how different countries’ school systems are readying their young people for modern life, and how different countries’ pension systems will look after their citizens in old age. Drawing on facts and real-life experience, we recommend policies designed to make the lives of ordinary people better. We work with business, through the Business and Industry Advisory Committee to the OECD, and with labour, through the Trade Union Advisory Committee. We have active contacts as well with other civil society organisations. The common thread of our work is a shared commitment to market economies backed by democratic institutions and focused on the wellbeing of all citizens. Along the way, we also set out to make life harder for the terrorists, tax dodgers, crooked businessmen and others whose actions undermine a fair and open.</p><p>[OECD/About OECD/2013]</p><p>[http://www.oecd.org/about/, consulté le 30-08-2013]</p>","<p>The OECD is a multilateral organization comprised of 30 countries, which are mostly Western European countries and other industrialized countries including US and Japan. Founded in 1961, the OECD provides a forum for representatives of countries to discuss and attempt to coordinate economic and social policies. It has an especially significant role in international tax matters. Its website is </p><p>[OECD/Glossary of Tax Terms/OECD website, last accessed on 13-04-2015]</p>"
20513,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20513&search_mode=solr","abnormal obsolescence","<p>Abnormal obsolescence is the loss in value on an asset due to a fall in demand for that type of asset that could not have been foreseen when the asset was acquired. Abnormal obsolescence may occur because of a new invention or discovery which destroys the market for the asset or because a shift in relative prices makes it uneconomical to continue using the asset. It is not included in consumption of fixed capital but in “other changes in nonfinancial asset n.e.c.” in the “Other changes in assets account”. Abnormal obsolescence is a synonym for “unforeseen obsolescence”.</p><p>[OECD/Measuring Capital: OECD Manual/Glossary of Technical Terms Used in the Manual/2001]</p>",
20516,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20516&search_mode=solr","absorption accounting","<p>This is a practice where the price of a product is calculated by a firm on the basis of its direct costs per unit of output plus a markup to cover overhead costs and profits. The overhead costs are generally calculated assuming less than full capacity operation of a plant in order to allow for fluctuating levels of production and costs. Full cost pricing is often used by firms as it is very difficult to calculate the precise demand for a product and establish a market price. Empirical studies indicate that full cost pricing methods are widely employed by business firms.  </p><p>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</p>",
20582,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20582&search_mode=solr","accounting profit","<p>Economic profits are not the same as accounting profits. In accounting, profits are simply the excess of revenues over the explicit costs of obtaining the revenues. Costs are not calculated as opportunity costs and do not include a normal return on capital. Moreover, accountants calculate different categories of profits which may differ from country to country.</p><p>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</p>",
20619,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20619&search_mode=solr","accumulation account","<p>Accumulation accounts are flow accounts that record the acquisition and disposal of financial and non-financial assets and liabilities by institutional units through transactions or as a result of other events. 1.9 [2.93, 10.1]</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
20624,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20624&search_mode=solr","acquisition cost","<p>The costs an organisation incurs in acquiring a given asset.</p><p><span>[OECD/Training Statistics Manual/Glossary of Training Terms/08-1995]</span></p><p> </p>",
20626,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20626&search_mode=solr","acquisition price","<p>The acquisition price is the price that was actually paid for an asset when it was first acquired by a resident user. It is a synonym for “historic price"".</p><p>[OECD/Measuring Capital: OECD Manual, Annex 1, Glossary of Technical Terms Used in the Manual, 2001]</p>",
20635,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20635&search_mode=solr","activity accounts",,"<p>Production accounts of industries, producers of government services, producers of private non-profit services to households, and the domestic service of households, in respect of their gross output of goods and services and their intermediate consumption, primary inputs and indirect taxes less subsidies.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
20636,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20636&search_mode=solr","activity classification","<p>The main purpose of an activity classification is to classify productive economic activities. The main aim is to provide a set of activity categories that can be utilised when dissecting statistics according to such activities.</p><p>[OECD/Measuring the Non-Observed Economy: A Handbook/2002]</p>",
20640,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20640&search_mode=solr","actual consumption","<p>Actual individual consumption is measured by the total value of household final consumption expenditure, non-profit institutions serving households (NPISHs) final consumption expenditure and government expenditure on individual consumption goods and services.</p><p>[OECD/Understanding National Accounts/2007]</p>",
20647,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20647&search_mode=solr","actual final consumption of NPISHs","<p>There is no actual final consumption of NPISHs because, in practice, most of their services are individual in nature and so, for simplicity, all services provided by NPISHs are treated by convention as individual (as social transfers in kind). 9.44 [9.94, 9.95]</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
20654,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20654&search_mode=solr","actual social contributions","<p>Actual social contributions consist of employers' actual social contributions, employees' actual social contributions, and social contributions by self- employed and non-employed persons (see also 'imputed social contributions'). 8.67 - 8.70 <br />[OECD/System of National Accounts 1993/Glossary/2000]</p>",
20668,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20668&search_mode=solr","additivity","<p>Additivity is a property pertaining to a set of interdependent index numbers related by definition or by accounting constraints. An aggregate is defined as the sum of its components. Additivity requires this identity to be preserved when the values of both an aggregate and its components in some reference period are extrapolated over time using a set of volume index numbers. Although desirable from an accounting viewpoint, additivity is actually a very restrictive property. As already noted, Laspeyres volume indices are additive because extrapolating the base period values by Laspeyres volume indices is equivalent to revaluing quantities in later periods by the same set of base period prices. Additivity implies that, at each level of aggregation, the volume index for an aggregate takes the form of a weighted arithmetic average of the volume indices for its components that uses their base period values as weights. This requirement virtually defines the Laspeyres index. Other volume indices in common use are therefore not additive.</p><p>[SNA-SCN/§16.55/1993]</p>",
20676,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20676&search_mode=solr","adjusted disposable income","<p>Adjusted disposable income is derived from the disposable income of an institutional unit or sector by adding the value of the social transfers in kind receivable by that unit or sector and by subtracting the value of the social transfers in kind payable by that unit or sector. 8.24 [8.26]</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
20680,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20680&search_mode=solr","adjustment aid","<p>Programmes that are established to mitigate the negative impacts of policy reform or hasten its benefits. Also called “flanking measures”.</p><p>[OECD/Handbook for fisheries managers/Glossary/2013]</p>",
20686,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20686&search_mode=solr","adjustment for the change in the net equity of households in pension fund reserves","<p>in order to reconcile this treatment with the fact that households are treated in the financial accounts and balance sheets of the System as owning the reserves of private funded pension schemes, both autonomous and non-autonomous, it is necessary to introduce an adjustment item to ensure that the balance of pension contributions over pension receipts (i.e., of transfers payable over transfers receivable) does not enter into household saving. In order to achieve this, it is necessary to add back pension contributions to, and subtract pension receipts from, the disposable income, or adjusted disposable income, of households recorded in the secondary distribution of income accounts in order to get back to a figure for the saving of households that is the same as what it would have been if pension contributions and pension receipts had not been recorded as current transfers in the secondary distribution of income account. The necessary adjustment item is therefore equal to: the total value of the actual social contributions payable into private funded pension schemes plus the total value of contribution supplements payable out of the property income attributed to insurance policy holders (i.e., holders of pension rights) minus the value of the associated service charges minus the total value of the pensions paid out as social insurance benefits by private funded pension schemes. This adjustment item is equal to the change in the net equity of households in pension funds described in paragraphs 11.93 to 11.96 of chapter XI. It must be added to the disposable income, or adjusted disposable income, of households before calculating saving in order to reconcile the saving of households with the change in their net equity in life insurance reserves and pension funds recorded in the financial account of the System. Opposite adjustments are, of course, needed in the use of income accounts of the insurance enterprises, autonomous pension funds or employers maintaining non-autonomous pension funds. These adjustments can affect non-resident institutional units, both households and pension funds.</p><p>[SNA-SCN/§9.16/1993]</p>",
20751,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20751&search_mode=solr","aggregates of the SNA","<p>The aggregates of the SNA - for example, value added, income, consumption and saving - are composite values which measure the result of the activity of the entire economy considered from a particular point of view some aggregates may be obtained directly as totals of particular transactions (e.g. final consumption, gross fixed capital formation and social contributions) while others may result from summing up balancing items for the institutional sectors (e.g. value added, balance of primary incomes, disposable income and saving). 2.169 and 2.170</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
20763,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20763&search_mode=solr","allocation of primary income account","<p>The allocation of primary income account focuses on resident institutional units or sectors in their capacity as recipients of primary incomes rather than as producers whose activities generate primary incomes it lists two kinds of income under 'resources': (a) primary incomes already recorded in the generation of income account that are receivable by resident institutional units, and (b) property incomes receivable from the ownership of financial or tangible non-produced assets (mainly land or sub-soil assets). 7.12 and 7.13</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
20766,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20766&search_mode=solr","allocative efficiency","<p>Economic efficiency arises when inputs are utilized in a manner such that a given scale of output is produced at the lowest possible cost. An increase in efficiency occurs when an existing or higher scale of output is produced at lower cost. Unlike technological efficiency, economic efficiency enables diverse production processes to be compared.</p><p><span>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</span></p>",
20779,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20779&search_mode=solr","alternative cost","<p>An essential concept in economics whereby the cost of using a resource in one activity is measured in terms of its best alternative use. The opportunity or alternative cost of producing one unit of commodity Y is what must be sacrificed by employing resources to produce it rather than something else. If several opportunities are given up in this manner, the relevant cost is the value assigned to the best (or highest) alternative. Opportunity costs are often referred to as ""implicit costs"" and while the concept is central to economics, they are not easy to measure. Cash outlays are ""explicit costs"" and are measured in terms of conventional accounting principles. </p><p><span>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</span></p>",
20805,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20805&search_mode=solr","analytical unit","<p>For more refined analysis of the production process, use is made of an analytical unit of production: this unit, which is not always observable, is the unit of homogeneous production, defined as covering no secondary activities. 2.48</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
20809,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20809&search_mode=solr","ancillary government enterprises",,"<p>Government enterprises, such as munitions factories, the mint, government printing works, building or transport maintenance and management administrations, which deliver all, or most of, their production (gross output) to other government bodies.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
20830,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20830&search_mode=solr","apparent productivity","<p>Apparent labour productivity is defined as output or value added per person employed or per hour worked.</p><p>[OECD/Understanding National Accounts/2007]</p>",
20850,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20850&search_mode=solr","appropriation account","<p>Detailed sources of income and expenditures, saving and net lending for key economic sectors such as general government, businesses and households. See also National accounts</p><p>[OECD/Economics Department/Economics Glossary/2005]</p>",
20903,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20903&search_mode=solr","factor cost, at","<p>Gross value added at factor cost is not a concept used explicitly in the SNA but it can easily be derived by subtracting the value of any taxes, less subsidies, on production payable out of gross value added. 6.229</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
20923,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20923&search_mode=solr","audit certificate","<p>Refers to the report of the auditor made once the audit work has been carried out. For example, an auditor’s report attached to an organisation’s financial statements may be referred to as the auditor’s certificate on those financial statements.</p><p>[OECD/Budgeting and Financial Control/List of useful terms/Sigma Papers n°19/1997]</p>",
20951,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20951&search_mode=solr","autonomous pension funds","<p>Autonomous pension funds are separate institutional units established for purposes of providing incomes on retirement for specific groups of employees and which are organised, and directed, by private or public employers or jointly by the employers and their employees. 6.141</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
20962,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20962&search_mode=solr","average cost","<p>Average costs refer to total costs divided by output.</p><p>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</p>",
20991,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20991&search_mode=solr","balance of primary incomes","<p>The balance of primary incomes is the total value of the primary incomes receivable by an institutional unit or sector less the total of the primary incomes payable at the level of the total economy it is described as 'national income'. 7.14</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
20995,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=20995&search_mode=solr","balance sheet","<p>A balance sheet is a statement, drawn up at a particular point in time, of the values of assets owned by an institutional unit or sector and of the financial claims (i.e. liabilities) incurred by this unit or sector for the economy as a whole, the balance sheet shows what is often referred to as 'national wealth' - the sum of non-financial assets and net claims on the rest of the world.</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
21011,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21011&search_mode=solr","balancing entry","<p>An account is closed by introducing a balancing item defined residually as the difference between the two sides of the account a balancing item typically encapsulates the net result of the activities covered by the account in question and is therefore an economic construct of considerable interest and analytical significance – for example, value added, disposable income, saving, net lending and net worth. (SNA 1.3 [3.64])</p><p>[OECD/Measuring the Non-Observed Economy: A Handbook/2002]</p>",
21112,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21112&search_mode=solr","base-line projection","<p>The set of market projections used for the outlook analysis in this report and as a benchmark for the analysis of the impact of different economic and policy scenarios.</p><p>[OECD/Agricultural Outlook: 2004-2013/Glossary/2004]</p>",
21113,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21113&search_mode=solr","base-line scenario","<p>The set of market projections used for the outlook analysis in this report and as a benchmark for the analysis of the impact of different economic and policy scenarios.</p><p>[OECD/Agricultural Outlook: 2004-2013/Glossary/2004]</p>",
21124,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21124&search_mode=solr","basic price","<p>The basic price is the amount receivable by the producer from the purchaser for a unit of a good or service produced as output minus any tax payable, and plus any subsidy receivable, on that unit as a consequence of its production or sale it excludes any transport charges invoiced separately by the producer.</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
21129,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21129&search_mode=solr","basic value, approximate",,"<p>Producers’ values, that is the value on the market at the establishments of the producer, of the gross output of commodities, industries, etc. less the commodity taxes, net, in respect of the gross output or the sum of the value of the primary inputs, indirect taxes, net, except commodities taxes, net, and the purchasers’ value of the intermediate inputs in respect of the gross output. The value added of industries in approximate basic values is equal to their gross output in approximate basic values less their intermediate inputs in purchasers’ values.</p><p>[OECD/Washington Cente/Glossary of Main Terms/27-08-1999]</p>"
21130,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21130&search_mode=solr","basic value, true",,"<p>Producers’ values of the gross output of commodities, industries, etc. less the commodity taxes, net, in respect of the gross output and the direct and indirect intermediate inputs or the sum of the value of the primary inputs, indirect taxes, net, except commodity taxes, net, and the true basic values of the intermediate inputs in respect of the gross output. The value added of industries in true basic values is equal to their gross output in true basic values less their intermediate inputs in true basic values, including the distributive-trade and transport margins on these intermediate inputs.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
21408,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21408&search_mode=solr","business cycle","<p>There are many ways to measure ""the business cycle"". In general, it is defined as fluctuations in the level of economic activity about a particular estimated measure of its underlying trend. Starting from a position where the level of output is around the trend level, a business cycle is said to be complete when the level of activity has returned back to the trend following a period of cycling above then below the trend level, or vice-versa.</p><p>[OECD/Economics Department/Economics Glossary/2005]</p>",
21432,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21432&search_mode=solr","business sector","<p>Also called “business sector”. The sector comprising all enterprises selling their output at economically significant prices.</p><p>[OECD/Understanding National Accounts/2007]</p>",
21433,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21433&search_mode=solr","business sector output","<p>Total economic output of the economy less the activities of the general government sector, that is general government consumption and gross capital formation.</p><p>[OECD/Economics Department/Economics Glossary/2005]</p>",
21434,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21434&search_mode=solr","business services","<p>Business services are defined to include “computer and related services”, “research and development” and “other business services” (ISIC rev. 3 categories 72, 73 and 74). Business services can also be sub-divided in two groups: the first subgroup is knowledge-intensive business services, which are professional services, including IT-consulting (72), R&amp;D services (73), legal (74), accounting (74), marketing and advertising (74), business consulting and human resource development (74). The second subgroup consists of operational services, including industrial cleaning (74), security services (74) and secretarial services (74)</p><p>[C(2007)38]</p>",
21489,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21489&search_mode=solr","capital consumption","<p>Consumption of fixed capital represents the reduction in the value of the fixed assets used in production during the accounting period resulting from physical deterioration, normal obsolescence or normal accidental damage.</p><p>[SNA-SCN/1993-§10.27]</p>",
21501,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21501&search_mode=solr","capital formation","<p>Gross capital formation is measured by the total value of the gross fixed capital formation, changes in inventories and acquisitions less disposals of valuables for a unit or sector.</p><p>[SNA-SCN/1993-§10.32]</p>",
21509,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21509&search_mode=solr","capital intensity","<p>The ratio of the value of an organisation's capital assets to the number of workers in the organisation.</p><p>[OECD/Training Statistics Manual/Glossary of Training Terms/08-1995]</p>",
21520,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21520&search_mode=solr","capital repairs",,"<p>Major alterations in, or additions to, machinery, equipment, structures or other fixed assets which significantly extend their expected life-time of use, productivity, or the character or volume of the services they render.</p><p>[OECD/Washington CenteR/Glossary of Main Terms/27-08-1999]</p>"
21524,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21524&search_mode=solr","capital service price","<p>The capital service price is the unit cost for the use of a capital asset for one period--that is, the price for employing or obtaining one unit of capital services. The service price is also referred to as the ""rental price"" of a capital good, or the “user cost of capital”.</p><p>[OECD/Productivity Manual: A Guide to the Measurement of Industry- Level and Aggregate Productivity Growth/Glossary/03-2001]</p>",
21525,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21525&search_mode=solr","capital services","<p>Capital services are the productive inputs, per period, that flow to production from a capital asset. The value of capital services is the quantity of services provided by the asset multiplied by the price of those services.</p><p>[OECD/Productivity Manual: A Guide to the Measurement of Industry - Level and Aggregate Productivity Growth/Glossary/03-2001]</p>",
21572,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21572&search_mode=solr","cash accounting","<p>Method of accounting where entries, for example, outlay, income, other receipt, are recorded as of the time at which the payment is actually made or received.</p><p>[OECD/Economics Department/Economics Glossary/2005]</p>",
21619,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21619&search_mode=solr","cash method",,"<p>The accounting method which recognizes income and deductions when money is received or paid.</p><p>[OECD/Glossary of Tax Terms/OECD website, last accessed on 13-04-2015]</p>"
21653,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21653&search_mode=solr","catastrophic losses","<p>The volume changes recorded as catastrophic losses in the 'other changes in the volume of assets account' are unanticipated losses resulting from large scale, discrete, and recognisable events that may destroy assets within any of the categories of assets. 12.35</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
21665,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21665&search_mode=solr","center of economic interest","<p>An institutional unit is said to have a centre of economic interest within a country when there exists some location within the economic territory of the country on or from which it engages, and intends to continue to engage, in economic activities and transactions on a significant scale, either indefinitely or over a finite but long period of time. 14.12 [4.15]</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
21680,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21680&search_mode=solr","central government","<p>Defined as comprising all departments, offices, establishments and other bodies classified under general government, which are agencies or instrument of the central authority of a country, except separately organised social security funds irrespective of whether they are covered in, or financed through, ordinary or extraordinary budgets, or extra-budgetary funds.</p><p>[OECD/Economics Department/Economics Glossary/2005]</p>",
21685,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21685&search_mode=solr","Central product classification (CPC)","<p>The central product classification (CPC) is a classification based on the physical characteristics of goods or on the nature of the services rendered each type of good or service distinguished in the CPC is defined in such a way that it is normally produced by only one activity as defined in ISIC. 5.44</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
21710,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21710&search_mode=solr","change in real national net worth","<p>The change in real national net worth is the sum of changes in net worth of all resident institutional sectors less the neutral holding gains/losses (that is, in proportion to the general price level) it is also equal to the sum of saving and capital transfers, other changes in volume of assets and real holding gains or losses. 2.186</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
21716,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=21716&search_mode=solr","changes in net worth","<p>Changes in net worth are equal to changes in assets less changes in liabilities. 2.148, 13.91 [2.93]</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
